Primary_Critical_Material,Project_Name,Mining_Method,Co-Producing_Materials,Existing_Mine,Status_of_Project,Regulatory_Challenges,State,County,Latitude,Longitude,Nearest_Population_Center,Population_Size,Additional_Location_Information,Mining_District,Mineral_Occurrence,Lead_Developer,Location_of_Lead_Developer_HQ,Lead_Developer_Website,Parent_Company,Location_of_Parent_Company_HQ,Was_There_Change_in_Ownership_during_Project?,Planned_Production_Capacity_(Thousands_of_Tons/Year),Planned_Lifespan_of_Mine__(Years),Processing_Plan_in_US,Processing_Done_by_the_Same_Lead_Developer/Parent_Company,Total_Capital_Costs__(Millions_of_Dollars),Number_of_Federal_Awards,Federal_Agency,Year_Granted,Grant/Loan,Amount__(Millions_of_Dollars),Purpose_of_Support,Public_Supply_Agreement_w/_an_Automaker_or_Battery/Component_Producer,Type_of_Land,Public_Land_Ownership,Year_of_Land_Acquisition,Evidence_of_Litigation,Number_of_Cases,State_and/or_Federal,Court_Rulings_Issued,Level_of_Court,Link_to_Judicial_Decision
Lithium,Angel Island,Surface,,No-- New Development,Exploration,Yes,Nevada,Esmeralda,37.7552783,-117.634177,"Silver Peak, NV",213,Yes,Silver Peak,Walker Lane Mineral Belt,Century Lithium Corp,CA,https://centurylithium.com/,,,-,27.0,40,Yes,Yes,,,,,,,,-,Public,BLM,,-,,,-,,
Lithium,Basin ,Undetermined,,No-- New Development,Exploration,No,Arizona,Yavapai,34.57774,-113.1742845,"Bagdad, AZ",2661,Yes,Eureka-Bagdad,,Bradda Head Lithium Ltd,UK,https://www.braddaheadltd.com/projects/basin,,,-,,,-,-,,,,,,,,-,Public,BLM/State,,-,,,-,,
Lithium,Big Sandy,Surface,,No-- New Development,Delayed Indefinitely,Yes,Arizona,Mohave,34.7033462,-113.6113242,"Wikieup, AZ",130,Yes,Cleopatra,Big Sandy Basin,Arizona Lithium,AU,https://www.hawkstonemining.com/big-sandy-lithium/,Arizona Lithium,US,-,20.0,30-40,Yes,-,,,,,,,,-,Public,BLM,2019.0,Yes,,Federal & State,Yes,,https://earthjustice.org/wp-content/uploads/2024/11/81-order-granting-pi.pdf
Lithium,Black Hills -- Longview Minerals,,,Yes-- Abandoned,Exploration,No,South Dakota,Custer,43.765152,-103.600768,"Custer, SD",1919,Yes,Black Hills,,Longview Minerals,US,https://irismetals.com/about-us/black-hills-south-dakota/,Iris Metals,AU,-,,,-,-,,,,,,,,-,Public and Private,BLM/State,,-,,,-,,
Lithium,Black Hills -- Midwest Lithium,Surface,,No-- New Development,Exploration,No,South Dakota,Custer,43.765152,-103.600768,"Custer, SD",1919,Yes,Black Hills,,Midwest Lithium,CH/AU,https://midwestlithium.com/south-dakota/,Armada Metals,AU,Yes,,,Yes,Yes,,,,,,,,-,Public and Private,,,-,,,-,,
Lithium,Black Hils -- Patriot Lithium ,,,Yes-- Abandoned,Exploration,No,South Dakota and Wyoming,"Lawrence (SD), Crook (WY) and Pennington (SD)",43.765152,-103.600768,"Spearfish and Keystone, SD","13,282 and 240",Yes,Black Hills ,,Patriot Lithium,AU,https://www.patriotresources.com.au/projects/black-hills-lithium-project/,,,-,,,-,-,,,,,,,,-,Public,USFS,,-,,,-,,
Lithium,Black Hills -- United Lithium,,,Yes-- Abandoned,Exploration,No,South Dakota,Custer,43.765152,-103.600768,"Pringle, SD",109,Yes,Black Hills,,United Lithium,CA,https://unitedlithium.com/united-lithium-corp-establishes-dominant-land-position-in-historical-lithium-pegmatite-production-area-near-custer-south-dakota/,,,-,,,-,-,,,,,,,,-,Public,USFS/BLM,,-,,,-,,
Lithium,Blue Clay,Undetermined,,No-- New Development,Exploration,No,Nevada,Esmeralda,37.7552783,-117.634177,"Silver Peak, NV",121,Yes,,,Sienna Resources Inc,CA,https://www.siennaresourcesinc.com/2024/09/clayton-valley-lithium-update/.,,,Yes,,,-,-,,,,,,,,-,Public,BLM,2022.0,-,,,-,,
Lithium,Bonnie Claire,Surface,Boron,Yes-- Abandoned,Development,No,Nevada,Nye,36.929606,-116.7217689,"Beatty, NV",880,Yes,Gold Mountain,Sarcobatus Valley,Nevada Lithium Resources Inc.,CA,https://nevadalithium.com/,Nevada Lithium Resources Inc.,CA,Yes,32.0,40,Yes,Yes,655,,,,,,,-,Public,BLM,2016.0,-,,,-,,
Lithium,Borax Lake,Undetermined,Boron,No-- New Development,Delayed Indefinitely,Yes,Oregon,Harney,42.26461,-118.6753807,"Fields, OR",120,Yes,,Basin and Range Province,Reedy Lagoon Corporation,AU,https://www.reedylagoon.com.au/,Reedy Lagoon Corporation,AU,-,,,-,-,,,,,,,,-,Public,BLM,2022.0,-,,,Yes,,
Lithium,Boron,Recovery from mine waste,,No-- New Development,Development,No,California,Kern,35.0176306,-117.6680213,"Boron, CA",2086,Yes,Kramer,,Rio Tinto,UK,https://www.riotinto.com,Rio Tinto International Holdings Limited,UK,-,5.0,,Yes,Yes,,1.0,DOE,,,,Processing  ,-,Public,BLM/State,,-,,,-,,
Lithium,Carolina Lithium,Surface,,Yes-- Abandoned,Delayed Indefinitely,Yes,North Carolina,Gaston,35.3787442,-81.3789739,"Cherryville, NC",6707,Yes,,Carolina Tin-Spodumene Belt,Piedmont Lithium,US,https://piedmontlithium.com,Sayona,AU,-,8.0,11.5,Yes,Yes,838.6,1.0,DOE,2022,Grant,141.7,Processing Plant in TN,Yes,Private,,2016.0,Yes,2.0,Federal,-,District,
