Primary_Critical_Material,Project_Name,State,County,Nearest_Population_Center,Population_Size,Additional_Location_Information,Mining_District,Mineral_Occurrence,Mining_Method,Co-Producing_Materials,Existing_Mine,Status_of_Project,Regulatory_Challenges,Lead_Developer,Location_of_Lead_Developer_HQ,Lead_Developer_Website,Parent_Company,Location_of_Parent_Company_HQ,Was_There_Change_in_Ownership_during_Project?,Planned_Production_Capacity_(Thousands_of_Tons/Year),Planned_Lifespan_of_Mine__(Years),Processing_Plan_in_US,Processing_Plan_Elsewhere_in_North_America,Processing_Done_by_the_Same_Lead_Developer/Parent_Company,Total_Capital_Costs__(Millions_of_Dollars),Number_of_Federal_Awards,Federal_Agency,Year_Granted,Grant/Loan,Amount__(Millions_of_Dollars),Purpose_of_Support,Public_Supply_Agreement_w/_an_Automaker_or_Battery/Component_Producer,Type_of_Land,Public_Land_Ownership,Year_of_Land_Acquisition,Local,State.1,Federal,Local.1,State.2,Federal.1,Evidence_of_Litigation,Number_of_Cases,State_and/or_Federal,Court_Rulings_Issued,Level_of_Court,Link_to_Judicial_Decision,Community_Residents/Groups,Indigenous_Groups,Environmental_Groups,Scale_of_Environmental_Group(s),Commercial_Groups,Recreational_Groups,Other,Evidence_of_Organized_Protest(s),Land_Use__(Built_Environment),Impacts_to_Natural_Environment,"Site_of_Historical,_Cultural,_Spiritual_Significance",Traffic_&_Noise,Air_Quality,Water_Supply,Water_Quality,Impact_on_Species,Classification_of_Species_Impacted_(If_Applicable),Recreation,Agriculture,Subsistence_Hunting/Fishing,Historical_Mining_or_Reclamation_Issues,Reputation_of_the_Developer/Parent_Company,Inadequate_Community_Engagement,Waste_Management,Other.1,Community_Residents/Groups.1,Commercial_Groups.1,Other.2,Economic_Growth,Tax_Revenue,Employment,Community_Development,Replace_Lost_Industries,Historical_Mining_Experience,Geopolitical/Security,Clean_Energy_Transition,Cleaner_than_Other_Sources,Other.3,Location_String,Latitude,Longitude
Lithium,Angel Island,Nevada,Esmeralda,"Silver Peak, NV",213.0,True,Silver Peak,Walker Lane Mineral Belt,Surface,,No-- New Development,Exploration,Yes,Century Lithium Corp,CA,https://centurylithium.com/,,,False,27.0,40,True,False,True,,,,,,,,False,Public,BLM,,False,False,False,True,False,False,False,,,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,"Silver Peak, NV, Nevada",37.7552783,-117.634177
Lithium,Basin ,Arizona,Yavapai,"Bagdad, AZ",2661.0,True,Eureka-Bagdad,,Undetermined,,No-- New Development,Exploration,No,Bradda Head Lithium Ltd,UK,https://www.braddaheadltd.com/projects/basin,,,False,,,False,False,False,,,,,,,,False,Public,BLM/State,,False,False,False,False,False,False,False,,,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,"Bagdad, AZ, Arizona",34.57774,-113.1742845
Lithium,Big Sandy,Arizona,Mohave,"Wikieup, AZ",130.0,True,Cleopatra,Big Sandy Basin,Surface,,No-- New Development,Delayed Indefinitely,Yes,Arizona Lithium,AU,https://www.hawkstonemining.com/big-sandy-lithium/,Arizona Lithium,US,False,,,False,True,False,,,,,,,,False,Public,BLM,2019.0,False,False,False,False,False,False,True,,Federal & State,True,,https://earthjustice.org/wp-content/uploads/2024/11/81-order-granting-pi.pdf,True,True,True,Local/Regional & National,True,False,False,False,False,True,True,True,False,True,True,False,,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,"Wikieup, AZ, Arizona",34.7033462,-113.6113242
Lithium,Blue Clay,Nevada,Esmeralda,"Silver Peak, NV",121.0,True,,,Undetermined,,No-- New Development,Exploration,No,Sienna Resources Inc,CA,https://www.siennaresourcesinc.com/2024/09/clayton-valley-lithium-update/.,,,True,,,False,False,False,,,,,,,,False,Public,BLM,2022.0,False,False,False,False,False,False,False,,,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Silver Peak, NV, Nevada",37.7552783,-117.634177
Lithium,Bonnie Claire,Nevada,Nye,"Beatty, NV",880.0,True,Gold Mountain,Sarcobatus Valley,Surface,Boron,Yes-- Abandoned,Development,No,Nevada Lithium Resources Inc.,CA,https://nevadalithium.com/,Nevada Lithium Resources Inc.,CA,True,32.0,40,True,True,True,655,,,,,,,False,Public,BLM,2016.0,False,False,False,False,False,False,False,,,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,True,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Beatty, NV, Nevada",36.929606,-116.7217689
Lithium,Borax Lake,Oregon,Harney,"Fields, OR",120.0,True,,Basin and Range Province,Undetermined,Boron,No-- New Development,Delayed Indefinitely,Yes,Reedy Lagoon Corporation,AU,https://www.reedylagoon.com.au/,Reedy Lagoon Corporation,AU,False,,,False,False,False,,,,,,,,False,Public,BLM,2022.0,False,False,True,False,False,True,False,,,True,,,True,True,True,Local/Regional,False,False,False,True,True,True,False,False,False,True,True,True,Threatened,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"Fields, OR, Oregon",42.26461,-118.6753807
Lithium,Boron,California,Kern,"Boron, CA",2086.0,True,Kramer,,Recovery from mine waste,,No-- New Development,Development,No,Rio Tinto,UK,https://www.riotinto.com,Rio Tinto International Holdings Limited,UK,False,5.0,,True,False,True,,1.0,DOE,,,,Processing  ,False,Public,BLM/State,,False,False,False,False,False,False,False,,,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Boron, CA, California",35.0176306,-117.6680213
Lithium,Carolina Lithium,North Carolina,Gaston,"Cherryville, NC",6707.0,True,,Carolina Tin-Spodumene Belt,Surface,,Yes-- Abandoned,Delayed Indefinitely,Yes,Piedmont Lithium,US,https://piedmontlithium.com,Sayona,AU,False,8.0,11.5,True,False,True,838.6,1.0,DOE,2022,Grant,141.7,Processing Plant in TN,True,Private,,2016.0,True,True,True,True,True,True,True,2.0,Federal,False,District,,True,False,True,Local/Regional,False,False,False,False,True,True,False,True,False,True,True,False,,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,"Cherryville, NC, North Carolina",35.3787442,-81.3789739
Lithium,Clayton Valley (ACME),Nevada,Esmeralda,"Silver Peak, NV",213.0,True,Silver Peak,Walker Lane Mineral Belt,Undetermined,,No-- New Development,Exploration,Yes,ACME Lithium Inc.,CA,https://acmelithium.com/project-cc-ccp-sx/,,,False,,40,False,False,False,,,,,,,,False,Public,BLM,,False,False,False,False,False,False,False,,,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Silver Peak, NV, Nevada",37.7552783,-117.634177
Lithium,Clayton Valley (PEM) ,Nevada,Esmeralda,"Silver Peak, NV",213.0,True,Silver Peak,Walker Lane Mineral Belt,Direct Lithium Extraction,,No-- New Development,Development,Yes,Pure Energy Minerals,CA,https://pureenergyminerals.com/projects1/clayton-valley-project/,,,True,,,False,False,False,,,,,,,,False,Public,BLM,2017.0,False,False,False,False,False,False,True,1.0,State,True,District,,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,"Silver Peak, NV, Nevada",37.7552783,-117.634177
